Id,Label
RuleAbstractNouns,RuleAbstractNouns
RuleAmbiguousRegards,RuleAmbiguousRegards
RuleAnaphoricReferences,RuleAnaphoricReferences
RuleCaseRepetition,RuleCaseRepetition
RuleCaseRepetition.max_repetition_count,RuleCaseRepetition.max_repetition_count
RuleCaseRepetition.max_repetition_count.v,RuleCaseRepetition.max_repetition_count.v
RuleCaseRepetition.max_repetition_frac,RuleCaseRepetition.max_repetition_frac
RuleCaseRepetition.max_repetition_frac.v,RuleCaseRepetition.max_repetition_frac.v
RuleConfirmationExpressions,RuleConfirmationExpressions
RuleDoubleAdpos,RuleDoubleAdpos
RuleDoubleAdpos.max_allowable_distance,RuleDoubleAdpos.max_allowable_distance
RuleDoubleAdpos.max_allowable_distance.v,RuleDoubleAdpos.max_allowable_distance.v
RuleDoubleComparison,RuleDoubleComparison
RuleFunctionWordRepetition,RuleFunctionWordRepetition
RuleGPadjective,RuleGPadjective
RuleGPcoordovs,RuleGPcoordovs
RuleGPdeverbaddr,RuleGPdeverbaddr
RuleGPdeverbsubj,RuleGPdeverbsubj
RuleGPpatbenperson,RuleGPpatbenperson
RuleGPpatinstr,RuleGPpatinstr
RuleGPwordorder,RuleGPwordorder
RuleIncompleteConjunction,RuleIncompleteConjunction
RuleInfVerbDistance,RuleInfVerbDistance
RuleInfVerbDistance.max_distance,RuleInfVerbDistance.max_distance
RuleInfVerbDistance.max_distance.v,RuleInfVerbDistance.max_distance.v
RuleLiteraryStyle,RuleLiteraryStyle
RuleLongSentences,RuleLongSentences
RuleLongSentences.max_length,RuleLongSentences.max_length
RuleLongSentences.max_length.v,RuleLongSentences.max_length.v
RuleMultiPartVerbs,RuleMultiPartVerbs
RuleMultiPartVerbs.max_distance,RuleMultiPartVerbs.max_distance
RuleMultiPartVerbs.max_distance.v,RuleMultiPartVerbs.max_distance.v
RulePassive,RulePassive
RulePredAtClauseBeginning,RulePredAtClauseBeginning
RulePredAtClauseBeginning.max_order,RulePredAtClauseBeginning.max_order
RulePredAtClauseBeginning.max_order.v,RulePredAtClauseBeginning.max_order.v
RulePredObjDistance,RulePredObjDistance
RulePredObjDistance.max_distance,RulePredObjDistance.max_distance
RulePredObjDistance.max_distance.v,RulePredObjDistance.max_distance.v
RulePredSubjDistance,RulePredSubjDistance
RulePredSubjDistance.max_distance,RulePredSubjDistance.max_distance
RulePredSubjDistance.max_distance.v,RulePredSubjDistance.max_distance.v
RuleRedundantExpressions,RuleRedundantExpressions
RuleReflexivePassWithAnimSubj,RuleReflexivePassWithAnimSubj
RuleRelativisticExpressions,RuleRelativisticExpressions
RuleTooFewVerbs,RuleTooFewVerbs
RuleTooFewVerbs.min_verb_frac,RuleTooFewVerbs.min_verb_frac
RuleTooFewVerbs.min_verb_frac.v,RuleTooFewVerbs.min_verb_frac.v
RuleTooLongExpressions,RuleTooLongExpressions
RuleTooManyNegations,RuleTooManyNegations
RuleTooManyNegations.max_allowable_negations,RuleTooManyNegations.max_allowable_negations
RuleTooManyNegations.max_allowable_negations.v,RuleTooManyNegations.max_allowable_negations.v
RuleTooManyNegations.max_negation_frac,RuleTooManyNegations.max_negation_frac
RuleTooManyNegations.max_negation_frac.v,RuleTooManyNegations.max_negation_frac.v
RuleTooManyNominalConstructions,RuleTooManyNominalConstructions
RuleTooManyNominalConstructions.max_allowable_nouns,RuleTooManyNominalConstructions.max_allowable_nouns
RuleTooManyNominalConstructions.max_allowable_nouns.v,RuleTooManyNominalConstructions.max_allowable_nouns.v
RuleTooManyNominalConstructions.max_noun_frac,RuleTooManyNominalConstructions.max_noun_frac
RuleTooManyNominalConstructions.max_noun_frac.v,RuleTooManyNominalConstructions.max_noun_frac.v
RuleVerbalNouns,RuleVerbalNouns
RuleWeakMeaningWords,RuleWeakMeaningWords
RuleWrongValencyCase,RuleWrongValencyCase
RuleWrongVerbonominalCase,RuleWrongVerbonominalCase
activity,activity
ari,ari
atl,atl
char_count,char_count
cli,cli
entropy,entropy
fkgl,fkgl
fre,fre
gf,gf
hpoint,hpoint
maentropy,maentropy
maentropy.v,maentropy.v
mamr,mamr
mattr,mattr
mattr.v,mattr.v
num_hapax,num_hapax
sent_count,sent_count
smog,smog
syllab_count,syllab_count
ttr,ttr
verb_dist,verb_dist
word_count,word_count
